Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU36640-MONOMER		urease (alpha subunit)	BSU36640	CCI-CYTOSOL-GP	BSU36640
BSU09370-MONOMER		gamma-D-glutamate-meso-diaminopimelate muropeptidase (major autolysin, vegetative)	BSU09370	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU09370
BSU01610-MONOMER		iron-uptake protein	BSU01610	CCI-PM-BAC-POS-GP	BSU01610
BSU18390-MONOMER		putative bacteriophage integrase	BSU18390		BSU18390
BSU01260-MONOMER		ribosomal protein L14	BSU01260	CCI-RIBOSOME-GP	BSU01260
BSU37010-MONOMER		peptide chain release factor 1	BSU37010	CCI-CYTOSOL-GP	BSU37010
CPLX8J2-231		iron(III) hydroxamate ABC transporter	BSU33310 // BSU33300 // BSU33320 // BSU33290		
BSU11040-MONOMER		toxin of the YitM-YitQ toxin-antitoxin system	BSU11040	CCI-PM-BAC-POS-GP	BSU11040
BSU03270-MONOMER		Fur-regulated NADPH:ferredoxin oxidoreductase	BSU03270		BSU03270
BSU18740-MONOMER		putative antitoxin of a toxin / antitoxin system; putative transcriptional regulator	BSU18740		BSU18740
BSU40250-MONOMER		putative dehydrogenase	BSU40250		BSU40250
BSU36650-MONOMER		urease (beta subunit)	BSU36650	CCI-CYTOSOL-GP	BSU36650
BSU40600-MONOMER		putative transporter permease subunit	BSU40600		BSU40600
CPLX8J2-217		acetyl-CoA carboxylase	BSU29200 // BSU29210		
BSU11990-MONOMER		putative exported protein; phage island	BSU11990		BSU11990
BSU38650-MONOMER		putative ABC efflux transporter membrane protein YxlG	BSU38650	CCI-PM-BAC-POS-GP	BSU38650
BSU12340-MONOMER		D-mannonate dehydratase	BSU12340		BSU12340
BSU21920-MONOMER		UDP-glucose diacylglyceroltransferase	BSU21920	CCI-PM-BAC-POS-GP	BSU21920
BSU18400-MONOMER		putative excisionase	BSU18400		BSU18400
BSU22270-MONOMER		conserved protein of unknown function	BSU22270		BSU22270
CPLX8J2-201		sodium channel stator-force generator complex	BSU29720 // BSU29730		
BSU25540-MONOMER		spore germination protease	BSU25540		BSU25540
BSU20300-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20300		BSU20300
BSU25910-MONOMER		putative holin; skin element	BSU25910	CCI-PM-BAC-POS-GP	BSU25910
BSU21890-MONOMER		Mn(2+)-dependent (deoxy)ribonucleoside pyrophosphohydrolase	BSU21890		BSU21890
BSU11055-MONOMER		putative integral inner membrane protein with HTTM domain	BSU11055	CCI-PM-BAC-POS-GP	BSU11055
BSU03950-MONOMER		copper import permease subunit	BSU03950	CCI-PM-BAC-POS-GP	BSU03950
CPLX8J2-187			BSU23800		
BSU25510-MONOMER		ribosomal elongation factor, GTPase	BSU25510	CCI-PM-BAC-POS-GP	BSU25510
BSU13880-MONOMER		transcriptional antiterminator (BglG family)	BSU13880		BSU13880
BSU15860-MONOMER		L-serine dehydratase (alpha chain)	BSU15860		BSU15860
BSU15460-MONOMER		pseudouridylate synthase	BSU15460		BSU15460
BSU40259-MONOMER		hypothetical protein	BSU40259	CCI-PM-BAC-POS-GP	BSU40259
BSU29580-MONOMER		persulfide ATP pyrophosphatase involved in tRNA modification	BSU29580	CCI-CYTOSOL-GP	BSU29580
CPLX8J2-171		transcriptional regulator PchR	BSU35080		
BSU29200-MONOMER		acetyl-CoA carboxylase (carboxyltransferase alpha subunit)	BSU29200	CCI-CYTOSOL-GP	BSU29200
BSU23910-MONOMER		putative peptidase or deacylase	BSU23910		BSU23910
BSU33190-MONOMER		putative oxidoreductase	BSU33190		BSU33190
BSU32810-MONOMER		putative oxidoreductase with thioredoxin domain and regulator domain	BSU32810	CCI-CYTOSOL-GP	BSU32810
BSU12000-MONOMER		transcription activator	BSU12000		BSU12000
BSU07550-MONOMER		heat stress induced protein	BSU07550		BSU07550
CPLX8J2-15		succinate dehydrogenase	BSU28430 // BSU28440 // BSU28450		
BSU07110-MONOMER		putative ABC transporter membrane subunit LplB	BSU07110	CCI-PM-BAC-POS-GP	BSU07110
BSU27570-MONOMER		conserved protein of unknown function	BSU27570		BSU27570
BSU01450-MONOMER		putative ECF transporter, ATP-binding component YbxA	BSU01450	CCI-PM-BAC-POS-GP	BSU01450
BSU01060-MONOMER		23S rRNA m2G1835 methyltransferase	BSU01060		BSU01060
BSU21930-MONOMER		cold-shock protein, molecular chaperone, RNA-helicase co-factor	BSU21930	CCI-CYTOSOL-GP	BSU21930
BSU36850-MONOMER		ATP synthase (subunit b, component F0)	BSU36850	CCI-PM-BAC-POS-GP	BSU36850
CPLX8J2-13		pyruvate dehydrogenase	BSU14580 // BSU14590		
BSU36450-MONOMER		putative efflux transporter	BSU36450	CCI-PM-BAC-POS-GP	BSU36450
BSU05520-MONOMER		conserved hypothetical protein, sporulation-related	BSU05520		BSU05520
BSU18600-MONOMER		putative sporulation protein	BSU18600		BSU18600
BSU18210-MONOMER		methylcrotonoyl-CoA carboxylase subunit (leucine degradation)	BSU18210		BSU18210
BSU25550-MONOMER		ribosomal protein S20 (BS20)	BSU25550	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP	BSU25550
BSU40450-MONOMER		conserved hypothetical protein	BSU40450		BSU40450
CPLX8J2-111		transcriptional regulator for post-exponential-phase response	BSU24610		
BSU10850-MONOMER		scyllo-inositol 2-dehydrogenase (NAD(+))	BSU10850	CCI-CYTOSOL-GP	BSU10850
BSU17550-MONOMER		conserved hypothetical protein; defective phage region	BSU17550	CCI-PM-BAC-POS-GP	BSU17550
BSU12190-MONOMER		putative ADP-ribose pyrophosphatase	BSU12190		BSU12190
BSU40080-MONOMER		6-phosphogluconate dehydrogenase (NAD+-dependent)	BSU40080	CCI-CYTOSOL-GP	BSU40080
BSU21900-MONOMER		bacillithiol peroxidase	BSU21900		BSU21900
BSU22120-MONOMER		transcriptional repressor of the Kdg operon (KdgR-galacturonate)	BSU22120		BSU22120
CPLX-9084		uroporphyrinogen III decarboxylase	BSU10120		
BSU11820-MONOMER		putative ATP-dependent DNA helicase (sporulation associated)	BSU11820	CCI-CYTOSOL-GP	BSU11820
BSU31260-MONOMER		methyl-accepting chemotaxis protein	BSU31260	CCI-PM-BAC-POS-GP	BSU31260
BSU25740-MONOMER		conserved protein of unknown function	BSU25740	CCI-PM-BAC-POS-GP	BSU25740
BSU21730-MONOMER		conserved protein of unknown function	BSU21730	CCI-PM-BAC-POS-GP	BSU21730
BSU25520-MONOMER		conserved protein of unknown function	BSU25520		BSU25520
BSU15700-MONOMER		coenzyme A biosynthesis bifunctional protein CoaBC; phosphopantothenoylcysteine synthetase/decarboxylase	BSU15700	CCI-CYTOSOL-GP	BSU15700
CPLX8J2-88			BSU11720		
BSU25350-MONOMER		stage IV sporulation protein; putative UDP-glucose-4-epimerase	BSU25350	CCI-PM-BAC-POS-GP	BSU25350
BSU34820-MONOMER		ABC family efflux transporter BmrA	BSU34820	CCI-PM-BAC-POS-GP	BSU34820
BSU29420-MONOMER		putative 3-oxoacyl-acyl-carrier protein reductase	BSU29420		BSU29420
BSU15300-MONOMER		bacillopeptidase F	BSU15300	CCI-EXTRACELLULAR-GP	BSU15300
BSU15470-MONOMER		transcriptional attenuator and uracil phosphoribosyltransferase activity	BSU15470		BSU15470
BSU33040-MONOMER		fumarate hydratase	BSU33040	CCI-CYTOSOL-GP	BSU33040
CPLX8J2-72		oligopeptide ABC transporter	BSU11430 // BSU11440 // BSU11450 // BSU11460 // BSU11470		
BSU29040-MONOMER		putative transporter	BSU29040	CCI-PM-BAC-POS-GP	BSU29040
BSU09210-MONOMER		putative RNA pseudouridine synthase	BSU09210		BSU09210
BSU07370-MONOMER		putative energy-dependent translational throttle A	BSU07370		BSU07370
BSU32669-MONOMER		putative transcriptional regulator	BSU32669		BSU32669
BSU29210-MONOMER		acetyl-CoA carboxylase (carboxyltransferase beta subunit)	BSU29210	CCI-CYTOSOL-GP	BSU29210
BSU01300-MONOMER		ribosomal protein S8 (BS8)	BSU01300	CCI-RIBOSOME-GP	BSU01300
CPLX8J2-55		RNA polymerase, &sigma;H	BSU00980 // BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070		
BSU06950-MONOMER		YesM two-component sensory histidine kinase	BSU06950	CCI-PM-BAC-POS-GP	BSU06950
BSU03110-MONOMER		putative amino acid transporter	BSU03110	CCI-PM-BAC-POS-GP	BSU03110
BSU36690-MONOMER		response regulator aspartate phosphatase	BSU36690		BSU36690
BSU00900-MONOMER		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway	BSU00900		BSU00900
BSU32820-MONOMER		acyl-CoA dehydrogenase (FAD dependent)	BSU32820		BSU32820
BSU18440-MONOMER		glutamate synthase (small subunit, NADP-dependent)	BSU18440		BSU18440
CPLX8J2-40		ammonium-dependent NAD+ synthetase	BSU03130		
BSU36290-MONOMER		phosphatase of unidentified specificity (possibly promiscuous)	BSU36290	CCI-CYTOSOL-GP	BSU36290
BSU38490-MONOMER		1,4-dihydroxy-2-naphthoate octaprenyltransferase	BSU38490	CCI-PM-BAC-POS-GP	BSU38490
BSU40290-MONOMER		putative N-acetyltransferase	BSU40290		BSU40290
BSU10690-MONOMER		spore germination protein	BSU10690		BSU10690
BSU07120-MONOMER		putative ABC transporter membrane subunit LplC	BSU07120	CCI-PM-BAC-POS-GP	BSU07120
BSU12040-MONOMER		putative acetyltransferase	BSU12040	CCI-CYTOSOL-GP	BSU12040
CPLX8J2-264		formate dehydrogenase ForCE2	BSU27230 // BSU27220		
BSU39930-MONOMER		putative efflux transporter	BSU39930	CCI-PM-BAC-POS-GP	BSU39930
BSU20140-MONOMER		hypothetical protein; phage SPbeta	BSU20140		BSU20140
BSU21970-MONOMER		ribonuclease	BSU21970		BSU21970
BSU11670-MONOMER		glycine oxidase	BSU11670	CCI-CYTOSOL-GP	BSU11670
BSU01070-MONOMER		RNA polymerase (beta subunit)	BSU01070		BSU01070
BSU25580-MONOMER		dCMP deaminase associated to DNA transport (competence)	BSU25580		BSU25580
CPLX8J2-25		ATP synthase, F0	BSU36850 // BSU36860 // BSU36870		
BSU21560-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21560		BSU21560
MONOMER8J2-49		factor allowing degradation of SpoIVA by ClpXP	G8J2-20		G8J2-20
BSU15540-MONOMER		dihydroorotate dehydrogenase (catalytic subunit)	BSU15540	CCI-CYTOSOL-GP	BSU15540
BSU36460-MONOMER		putative pectin lyase	BSU36460	CCI-EXTRACELLULAR-GP	BSU36460
BSU25200-MONOMER		RNA polymerase major sigma-43 factor (sigma-A)	BSU25200	CCI-CYTOSOL-GP	BSU25200
BSU29260-MONOMER		conserved protein of unknown function	BSU29260	CCI-PM-BAC-POS-GP	BSU29260
BSU15140-MONOMER		putative 16S rRNA m4C1402 methyltransferase	BSU15140	CCI-CYTOSOL-GP	BSU15140
BSU13750-MONOMER		NADPH-dependent 7-cyano-7-deazaguanine reductase	BSU13750	CCI-CYTOSOL-GP	BSU13750
BSU29240-MONOMER		protein involved in sporulation	BSU29240	CCI-PM-BAC-POS-GP	BSU29240
BSU28870-MONOMER		initiation factor IF-3	BSU28870	CCI-CYTOSOL-GP	BSU28870
BSU18220-MONOMER		methylglutaconyl-CoA hydratase (leucine degradation)	BSU18220		BSU18220
BSU32850-MONOMER		proline dehydrogenase 1	BSU32850		BSU32850
BSU32510-MONOMER		xanthine dehydrogenase molybdopterin recruitment factor	BSU32510		BSU32510
BSU23750-MONOMER		putative lyase	BSU23750		BSU23750
BSU07160-MONOMER		putative lyase/dioxygenase	BSU07160		BSU07160
BSU06811-MONOMER		conserved hypothetical protein; HGT island	BSU06811		BSU06811
BSU10860-MONOMER		bacillithiol <i>S</i>-transferase	BSU10860		BSU10860
BSU01110-MONOMER		ribosomal protein S7 (BS7)	BSU01110	CCI-RIBOSOME-GP	BSU01110
BSU00740-MONOMER		4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase)	BSU00740		BSU00740
BSU27430-MONOMER		putative L-glutamine ABC transporter ATP-binding protein	BSU27430	CCI-PM-BAC-POS-GP	BSU27430
BSU36500-MONOMER		putative integral inner membrane protein	BSU36500	CCI-PM-BAC-POS-GP	BSU36500
BSU36140-MONOMER		conserved protein of unknown function	BSU36140		BSU36140
BSU40090-MONOMER		alkyl hydroperoxide reductase (small subunit)	BSU40090	CCI-CYTOSOL-GP	BSU40090
BSU18250-MONOMER		acetoacetyl-CoA synthetase	BSU18250		BSU18250
BSU10530-MONOMER		biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha,beta-trehalose), glucose-6-P 3-dehydrogenase; kanosamine biosynthesis (recent HGT island)	BSU10530		BSU10530
BSU10900-MONOMER		putative acyl hydrolase or peroxidase	BSU10900		BSU10900
BSU05380-MONOMER		putative flavoprotein	BSU05380		BSU05380
BSU39770-MONOMER		transcriptional regulator of the iol operon (DeoR family)	BSU39770		BSU39770
BSU11839-MONOMER		hypothetical protein	BSU11839		BSU11839
BSU40130-MONOMER		putative transcriptional regulator (GntR family)	BSU40130		BSU40130
BSU11520-MONOMER		adaptor protein controlling oligomerization of the AAA+ protein ClpC	BSU11520		BSU11520
BSU11870-MONOMER		cystathionine gamma-synthase and O-acetylhomoserine thiolyase	BSU11870	CCI-CYTOSOL-GP	BSU11870
BSU17390-MONOMER		ribonucleoside-diphosphate reductase (minor subunit)	BSU17390	CCI-CYTOSOL-GP	BSU17390
BSU21400-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21400		BSU21400
BSU21740-MONOMER		putative exported lipase/acylhydrolase (lipoprotein)	BSU21740		BSU21740
BSU21780-MONOMER		transcriptional enhancer involved in BCAA homeostasis	BSU21780		BSU21780
BSU14990-MONOMER		subunit of a sporulation, competence and biofilm formation regulatory complex controlling RNase Y (RicAFT complex / FAD / two [4Fe-4S]2+)	BSU14990	CCI-CYTOSOL-GP	BSU14990
BSU25400-MONOMER		conserved protein of unknown function with tRNA aminoacid amidase domain	BSU25400		BSU25400
BSU31100-MONOMER		potassium transporter ATPase	BSU31100	CCI-PM-BAC-POS-GP	BSU31100
BSU25070-MONOMER		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	BSU25070		BSU25070
BSU25360-MONOMER		conserved sporulation protein of unknown function	BSU25360		BSU25360
BSU15350-MONOMER		<i>N</i>-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase	BSU15350		BSU15350
BSU28710-MONOMER		carbon starvation-induced membrane protein	BSU28710	CCI-PM-BAC-POS-GP	BSU28710
BSU29090-MONOMER		DNA polymerase I	BSU29090		BSU29090
BSU34670-MONOMER		putative carbonic anhydrase	BSU34670		BSU34670
BSU32360-MONOMER		conserved protein of unknown function	BSU32360		BSU32360
BSU15310-MONOMER		protease processing pro-sigma-E	BSU15310	CCI-PM-BAC-POS-GP	BSU15310
BSU32710-MONOMER		sulfur mobilizing ABC protein, ATPase	BSU32710		BSU32710
BSU06650-MONOMER		putative magnesium transporter	BSU06650	CCI-PM-BAC-POS-GP	BSU06650
BSU07000-MONOMER		rhamnogalacturonan hydrolase	BSU07000	CCI-CYTOSOL-GP	BSU07000
BSU09040-MONOMER		hypothetical protein	BSU09040		BSU09040
BSU00580-MONOMER		putative fusion methylase and nucleotide pyrophosphohydrolase	BSU00580		BSU00580
BSU29050-MONOMER		promiscuous aldo/keto reductase	BSU29050		BSU29050
BSU00950-MONOMER		ribonuclease for 23S RNA maturation, mini-RNase III	BSU00950	CCI-CYTOSOL-GP	BSU00950
BSU35980-MONOMER		conserved protein of unknown function	BSU35980		BSU35980
BSU36340-MONOMER		putative sortase	BSU36340		BSU36340
BSU02950-MONOMER		niacin permease	BSU02950	CCI-PM-BAC-POS-GP	BSU02950
BSU10370-MONOMER		putative biotin ECF transporter, S component BioY	BSU10370	CCI-PM-BAC-POS-GP	BSU10370
BSU32670-MONOMER		FeS cluster formation scaffold protein	BSU32670		BSU32670
BSU18100-MONOMER		subunit A of DNA topoisomerase IV (ATP-dependent)	BSU18100	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU18100
BSU39610-MONOMER		iron(III)-hydroxamate ABC transporter ferrioxamine-binding lipoprotein	BSU39610	CCI-PM-BAC-POS-GP	BSU39610
BSU10740-MONOMER		putative spore coat protein, CotH paralog	BSU10740		BSU10740
BSU38330-MONOMER		metabolic regulator controlling activity of murein hydrolases	BSU38330	CCI-PM-BAC-POS-GP	BSU38330
BSU11350-MONOMER		conserved hypothetical protein	BSU11350		BSU11350
BSU06960-MONOMER		YesN two-component response regulator	BSU06960	CCI-CYTOSOL-GP	BSU06960
BSU39980-MONOMER		quercetin dioxygenase	BSU39980		BSU39980
BSU21250-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21250		BSU21250
BSU11720-MONOMER		enoyl-acyl carrier protein reductase	BSU11720		BSU11720
BSU19990-MONOMER		conserved hypothetical protein; phage SPbeta	BSU19990		BSU19990
BSU14830-MONOMER		L-glutamine amidohydrolase; glutaminase	BSU14830		BSU14830
BSU00910-MONOMER		2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase	BSU00910		BSU00910
BSU21610-MONOMER		calcium-dependent DNA nuclease, lipoprotein; phage SPbeta	BSU21610	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP	BSU21610
BSU24910-MONOMER		putative glycosyltransferase	BSU24910		BSU24910
BSU25250-MONOMER		negative regulator of gluconeogenesis	BSU25250		BSU25250
BSU13590-MONOMER		2,3-diketo-5-methylthiopentyl-1-phosphate enolase (DK-MTP-1-P enolase)	BSU13590		BSU13590
BSU28550-MONOMER		transcriptional regulator of fatty acids degradation [FadR-long-chain (C14-C20) acyl-CoAs]	BSU28550	CCI-CYTOSOL-GP	BSU28550
BSU36300-MONOMER		transcriptional regulator (glucose repression of catabolic operons)	BSU36300		BSU36300
BSU15190-MONOMER		phospho-N-acetylmuramoyl-pentapeptide undecaprenyl phosphate (C55P) transferase	BSU15190	CCI-PM-BAC-POS-GP	BSU15190
BSU06500-MONOMER		phosphoribosylaminoimidazole synthetase	BSU06500	CCI-CYTOSOL-GP	BSU06500
BSU28930-MONOMER		LytS two-component sensory histidine kinase	BSU28930	CCI-PM-BAC-POS-GP // CCO-CE-BAC	BSU28930
BSU23590-MONOMER		transcriptional regulator of ansAB (Xre family)	BSU23590		BSU23590
BSU00420-MONOMER		dimethyladenosine 16S ribosomal RNA transferase	BSU00420	CCI-CYTOSOL-GP	BSU00420
BSU10700-MONOMER		spore germination protein	BSU10700		BSU10700
BSU32560-MONOMER		FrlR transcriptional regulator (GntR family)	BSU32560		BSU32560
BSU32230-MONOMER		putative acylaminoacyl-peptidase	BSU32230		BSU32230
BSU06840-MONOMER		putative DNA integrase or transcriptional regulator	BSU06840	CCI-CYTOSOL-GP	BSU06840
BSU27270-MONOMER		methylthioadenosine / S-adenosylhomocysteine nucleosidase	BSU27270	CCI-CYTOSOL-GP	BSU27270
BSU35820-MONOMER		lipoprotein component of the germination receptor B	BSU35820	CCI-PM-BAC-POS-GP	BSU35820
BSU39940-MONOMER		membrane associated protein kinase with beta-propeller domain	BSU39940	CCI-EXTRACELLULAR-GP	BSU39940
BSU00790-MONOMER		7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase	BSU00790		BSU00790
BSU10210-MONOMER		putative RNA-binding PUA-containing enzyme	BSU10210		BSU10210
BSU36190-MONOMER		putative ribonuclease toxin	BSU36190		BSU36190
BSU05230-MONOMER		putative permease	BSU05230	CCI-PM-BAC-POS-GP	BSU05230
BSU11190-MONOMER		N-acetylglutamate gamma-semialdehyde dehydrogenase	BSU11190	CCI-CYTOSOL-GP	BSU11190
BSU11680-MONOMER		sulfur carrier for synthesis of hydroxyethylthiazole phosphate	BSU11680		BSU11680
BSU10580-MONOMER		putative permease (recent HGT island)	BSU10580	CCI-PM-BAC-POS-GP	BSU10580
BSU21100-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21100		BSU21100
BSU39820-MONOMER		class III heat-shock protein (ATP-dependent molecular chaperone HSP90)	BSU39820	CCI-CYTOSOL-GP	BSU39820
BSU17230-MONOMER		cytochrome P450 of bacillaene metabolism	BSU17230	CCI-PM-BAC-POS-GP	BSU17230
BSU14670-MONOMER		inositol monophosphatase / 5' nucleotidase (purine nucleoside monophosphate)	BSU14670		BSU14670
BSU21570-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21570		BSU21570
BSU11560-MONOMER		putative thiol management oxidoreductase component	BSU11560	CCI-CYTOSOL-GP	BSU11560
BSU24750-MONOMER		putative membrane associated enzyme	BSU24750	CCI-PM-BAC-POS-GP	BSU24750
BSU21450-MONOMER		sublancin glycosyltransferase; phage SPbeta	BSU21450		BSU21450
BSU30940-MONOMER		glycogen phosphorylase	BSU30940	CCI-CYTOSOL-GP	BSU30940
BSU28380-MONOMER		germination (cortex hydrolysis) and sporulation (stage II, multiple polar septa) lytic enzyme	BSU28380		BSU28380
BSU25210-MONOMER		DNA primase	BSU25210	CCI-CYTOSOL-GP	BSU25210
BSU15040-MONOMER		putative hydrolase	BSU15040		BSU15040
BSU06340-MONOMER		conserved hypothetical protein	BSU06340		BSU06340
BSU25120-MONOMER		conserved protein of unknown function	BSU25120		BSU25120
BSU34510-MONOMER		conserved protein of unknown function	BSU34510		BSU34510
BSU00260-MONOMER		putative toxic compound resistance protein	BSU00260		BSU00260
BSU15150-MONOMER		cell-division protein	BSU15150	CCI-PM-BAC-POS-GP	BSU15150
BSU28760-MONOMER		sn-glycerol-1-phosphate dehydrogenase [NAD+] (catabolic)	BSU28760	CCI-CYTOSOL-GP	BSU28760
BSU32070-MONOMER		stationary phase survival protein	BSU32070	CCI-PM-BAC-POS-GP	BSU32070
BSU32410-MONOMER		allantoinase	BSU32410	CCI-CYTOSOL-GP	BSU32410
BSU08890-MONOMER		putative integral inner membrane protein	BSU08890	CCI-PM-BAC-POS-GP	BSU08890
BSU35660-MONOMER		UDP-<i>N</i>-acetylglucosamine 2-epimerase	BSU35660	CCI-CYTOSOL-GP	BSU35660
BSU28890-MONOMER		putative lipoprotein	BSU28890		BSU28890
BSU06700-MONOMER		putative transcriptional regulator (TetR/AcrR family)	BSU06700		BSU06700
BSU10040-MONOMER		putative ABC exporter ATP-binding protein EcsA	BSU10040	CCI-PM-BAC-POS-GP	BSU10040
BSU00630-MONOMER		putative RNA degradation protein; polyribonucleotide nucleotidyltransferase or phosphorylase	BSU00630	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP	BSU00630
BSU02790-MONOMER		conserved protein of unknown function	BSU02790		BSU02790
BSU03910-MONOMER		succinate-semialdehyde dehydrogenase	BSU03910		BSU03910
BSU32520-MONOMER		<i>S</i>-ureidoglycine-glyoxylate aminotransferase	BSU32520		BSU32520
BSU36030-MONOMER		putative Na+/H+ antiporter	BSU36030	CCI-PM-BAC-POS-GP	BSU36030
BSU39330-MONOMER		arabinan endo-1,5-alpha-L-arabinosidase ([Ca(2+)-dependent]	BSU39330	CCI-EXTRACELLULAR-GP	BSU39330
BSU10420-MONOMER		competence transcription factor (CTF)	BSU10420		BSU10420
